"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Feb 16 21:17:01 MSK 2025","Sun Feb 16 21:17:04 MSK 2025","3159","","ru.ui.tests.IngredientTypeTests","","ru.ui.tests.IngredientTypeTests","selectFillingSectionTest","Переход в секцию Начинки","Кликаем по секции и проверяем"
"passed","Sun Feb 16 21:17:07 MSK 2025","Sun Feb 16 21:17:09 MSK 2025","2152","","ru.ui.tests.LoginPageTests","","ru.ui.tests.LoginPageTests","goToLoginPageViaLoginAccountLinkTest","Переход на страницу авторизации ","Переход через кнопку 'Личный кабинет' на главной странице"
"passed","Sun Feb 16 21:17:04 MSK 2025","Sun Feb 16 21:17:05 MSK 2025","1532","","ru.ui.tests.IngredientTypeTests","","ru.ui.tests.IngredientTypeTests","selectBunSectionTest","Переход в секцию Булки","Кликаем по любой из секций кроме Булки, а потом кликаем по секции Булки"
"passed","Sun Feb 16 21:17:05 MSK 2025","Sun Feb 16 21:17:07 MSK 2025","1720","","ru.ui.tests.IngredientTypeTests","","ru.ui.tests.IngredientTypeTests","selectSauceSectionTest","Переход в секцию соус","Кликаем по секции и проверяем"
"passed","Sun Feb 16 21:17:28 MSK 2025","Sun Feb 16 21:17:31 MSK 2025","2945","","ru.ui.tests.UserProfilePageTests","","ru.ui.tests.UserProfilePageTests","goToProfilePageTest","Переход на страницу профиля","Для зарегистрированного пользователя"
"passed","Sun Feb 16 21:17:17 MSK 2025","Sun Feb 16 21:17:19 MSK 2025","1764","","ru.ui.tests.SignUpTests","","ru.ui.tests.SignUpTests","incorrectPasswordTest","Сообщение об ошибке при вводе пароля","Появление ошибки при вводе менее 6сти символов"
"passed","Sun Feb 16 21:17:11 MSK 2025","Sun Feb 16 21:17:12 MSK 2025","1454","","ru.ui.tests.LoginPageTests","","ru.ui.tests.LoginPageTests","goToLoginPageViaLoginLinkInRegistrationPageTest","Переход на страницу авторизации ","Переход через ссылку вход 'Личный кабинет' на странице регистрации"
"passed","Sun Feb 16 21:17:09 MSK 2025","Sun Feb 16 21:17:11 MSK 2025","1717","","ru.ui.tests.LoginPageTests","","ru.ui.tests.LoginPageTests","goToLoginPageViaLoginAccountButtonTest","Переход на страницу авторизации","Переход через кнопку 'Войти в аккаунт' на главной странице"
"passed","Sun Feb 16 21:17:22 MSK 2025","Sun Feb 16 21:17:25 MSK 2025","3010","","ru.ui.tests.UserProfilePageTests","","ru.ui.tests.UserProfilePageTests","goToMainPageFromProfilePageViaLogoLink","Переход из личного кабинета на главную страницу","Через ссылку 'Лого'"
"passed","Sun Feb 16 21:17:14 MSK 2025","Sun Feb 16 21:17:17 MSK 2025","3074","","ru.ui.tests.SignUpTests","","ru.ui.tests.SignUpTests","successfulRegisterTest","Проверка регистрации","Проверка регистрации с валидными данными"
"passed","Sun Feb 16 21:17:12 MSK 2025","Sun Feb 16 21:17:14 MSK 2025","1456","","ru.ui.tests.LoginPageTests","","ru.ui.tests.LoginPageTests","goToLoginPageViaLoginLinkInForgotPasswordPageTest","Переход на страницу авторизации ","Переход через ссылку вход 'Личный кабинет' на странице забыл пароль"
"passed","Sun Feb 16 21:17:19 MSK 2025","Sun Feb 16 21:17:22 MSK 2025","3515","","ru.ui.tests.UserProfilePageTests","","ru.ui.tests.UserProfilePageTests","logOutViaLogOutButtonFromProfilePageTest","Выход из профиля","Через кнопку 'Выйти'"
"passed","Sun Feb 16 21:17:25 MSK 2025","Sun Feb 16 21:17:28 MSK 2025","3211","","ru.ui.tests.UserProfilePageTests","","ru.ui.tests.UserProfilePageTests","goToMainPageFromProfilePageViaConstructorButton","Переход из личного кабинета на главную страницу ","Через ссылку Конструктор"
